PositionUniqueName,WardMunicipality,PositionDesc,ShortLocalDesc,ShowResults,NumberToElect,Aliases
Regional-Chair,N/A,Regional Chair,Chair,Y,1,"Alias-Everything,Alias-All-Regional"
Regional-Kitchener,N/A,Regional Council - Kitchener,Councillor (Kitchener),Y,4,"Alias-Everything,Alias-All-Regional"
Regional-Waterloo,N/A,Regional Council - Waterloo,Councillor (Waterloo),Y,2,"Alias-Everything,Alias-All-Regional"
Regional-Cambridge,N/A,Regional Council - Cambridge,Councillor (Cambridge),Y,2,"Alias-Everything,Alias-All-Regional"
Cambridge-Mayor,N/A,City of Cambridge - Mayor,Mayor,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Cambridge"
Cambridge-Ward-01,Cambridge,City of Cambridge - Ward 1,Ward 1,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Cambridge"
Cambridge-Ward-02,Cambridge,City of Cambridge - Ward 2,Ward 2,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Cambridge"
Cambridge-Ward-03,Cambridge,City of Cambridge - Ward 3,Ward 3,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Cambridge"
Cambridge-Ward-04,Cambridge,City of Cambridge - Ward 4,Ward 4,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Cambridge"
Cambridge-Ward-05,Cambridge,City of Cambridge - Ward 5,Ward 5,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Cambridge"
Cambridge-Ward-06,Cambridge,City of Cambridge - Ward 6,Ward 6,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Cambridge"
Cambridge-Ward-07,Cambridge,City of Cambridge - Ward 7,Ward 7,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Cambridge"
Cambridge-Ward-08,Cambridge,City of Cambridge - Ward 8,Ward 8,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Cambridge"
Kitchener-Mayor,N/A,City of Kitchener - Mayor,Mayor,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Kitchener"
Kitchener-Ward-01,Kitchener,City of Kitchener - Ward 1,Ward 1,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Kitchener"
Kitchener-Ward-02,Kitchener,City of Kitchener - Ward 2,Ward 2,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Kitchener"
Kitchener-Ward-03,Kitchener,City of Kitchener - Ward 3,Ward 3,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Kitchener"
Kitchener-Ward-04,Kitchener,City of Kitchener - Ward 4,Ward 4,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Kitchener"
Kitchener-Ward-05,Kitchener,City of Kitchener - Ward 5,Ward 5,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Kitchener"
Kitchener-Ward-06,Kitchener,City of Kitchener - Ward 6,Ward 6,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Kitchener"
Kitchener-Ward-07,Kitchener,City of Kitchener - Ward 7,Ward 7,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Kitchener"
Kitchener-Ward-08,Kitchener,City of Kitchener - Ward 8,Ward 8,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Kitchener"
Kitchener-Ward-09,Kitchener,City of Kitchener - Ward 9,Ward 9,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Kitchener"
Kitchener-Ward-10,Kitchener,City of Kitchener - Ward 10,Ward 10,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Kitchener"
NorthDumfries-Mayor,N/A,Township of North Dumfries - Mayor,Mayor,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-NorthDumfries"
NorthDumfries-Ward-01,North Dumfries,Township of North Dumfries - Ward 1,Ward 1,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-NorthDumfries"
NorthDumfries-Ward-02,North Dumfries,Township of North Dumfries - Ward 2,Ward 2,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-NorthDumfries"
NorthDumfries-Ward-03,North Dumfries,Township of North Dumfries - Ward 3,Ward 3,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-NorthDumfries"
NorthDumfries-Ward-04,North Dumfries,Township of North Dumfries - Ward 4,Ward 4,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-NorthDumfries"
Waterloo-Mayor,N/A,City of Waterloo - Mayor,Mayor,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-CityWaterloo"
Waterloo-Ward-01,Waterloo,City of Waterloo - Ward 1,Ward 1,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-CityWaterloo"
Waterloo-Ward-02,Waterloo,City of Waterloo - Ward 2,Ward 2,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-CityWaterloo"
Waterloo-Ward-03,Waterloo,City of Waterloo - Ward 3,Ward 3,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-CityWaterloo"
Waterloo-Ward-04,Waterloo,City of Waterloo - Ward 4,Ward 4,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-CityWaterloo"
Waterloo-Ward-05,Waterloo,City of Waterloo - Ward 5,Ward 5,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-CityWaterloo"
Waterloo-Ward-06,Waterloo,City of Waterloo - Ward 6,Ward 6,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-CityWaterloo"
Waterloo-Ward-07,Waterloo,City of Waterloo - Ward 7,Ward 7,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-CityWaterloo"
Wilmot-Mayor,N/A,Township of Wilmot - Mayor,Mayor,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Wilmot"
Wilmot-Ward-01,Wilmot,Township of Wilmot - Ward 1,Ward 1,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Wilmot"
Wilmot-Ward-02,Wilmot,Township of Wilmot - Ward 2,Ward 2,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Wilmot"
Wilmot-Ward-03,Wilmot,Township of Wilmot - Ward 3,Ward 3,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Wilmot"
Wilmot-Ward-04,Wilmot,Township of Wilmot - Ward 4,Ward 4,Y,2,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Wilmot"
Wellesley-Mayor,N/A,Township of Wellesley - Mayor,Mayor,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Wellesley"
Wellesley-Ward-01,Wellesley,Township of Wellesley - Ward 1,Ward 1,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Wellesley"
Wellesley-Ward-02,Wellesley,Township of Wellesley - Ward 2,Ward 2,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Wellesley"
Wellesley-Ward-03,Wellesley,Township of Wellesley - Ward 3,Ward 3,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Wellesley"
Wellesley-Ward-04,Wellesley,Township of Wellesley - Ward 4,Ward 4,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Wellesley"
Woolwich-Mayor,N/A,Township of Woolwich - Mayor,Mayor,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Woolwich"
Woolwich-Ward-01,Woolwich,Township of Woolwich - Ward 1,Ward 1,Y,2,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Woolwich"
Woolwich-Ward-02,Woolwich,Township of Woolwich - Ward 2,Ward 2,Y,1,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Woolwich"
Woolwich-Ward-03,Woolwich,Township of Woolwich - Ward 3,Ward 3,Y,2,"Alias-Everything,Alias-All-AreaMunicipal,Alias-Woolwich"
SchoolBoard-Public-English-Cambridge-NorthDumfries,N/A,Waterloo Region District School Board (English Public) - Cambridge/North Dumfries,English Public Trustee (Cambridge/North Dumfries),Y,3,"Alias-Everything,Alias-All-SchoolBoards,Alias-SchoolBoard-Public-English"
SchoolBoard-Public-English-Kitchener,N/A,Waterloo Region District School Board (English Public) - Kitchener,English Public Trustee (Kitchener),Y,4,"Alias-Everything,Alias-All-SchoolBoards,Alias-SchoolBoard-Public-English"
SchoolBoard-Public-English-Waterloo-Wilmot,N/A,Waterloo Region District School Board (English Public) - Waterloo/Wilmot,English Public Trustee (Waterloo/Wilmot),Y,3,"Alias-Everything,Alias-All-SchoolBoards,Alias-SchoolBoard-Public-English"
SchoolBoard-Public-English-Woolwich-Wellesley,N/A,Waterloo Region District School Board (English Public) - Woolwich/Wellesley,English Public Trustee (Woolwich/Wellesley),Y,1,"Alias-Everything,Alias-All-SchoolBoards,Alias-SchoolBoard-Public-English"
SchoolBoard-Catholic-English-Waterloo-Wellesley-Woolwich,N/A,Waterloo Catholic District School Board (English Catholic) - Waterloo/Wellesley/Woolwich,English Catholic Trustee (Waterloo/Wellesley/Woolwich),Y,2,"Alias-Everything,Alias-All-SchoolBoards,Alias-SchoolBoard-Public-Catholic,Alias-SchoolBoard-Catholic-English"
SchoolBoard-Catholic-English-Kitchener-Wilmot,N/A,Waterloo Catholic District School Board (English Catholic) - Kitchener/Wilmot,English Catholic Trustee (Kitchener/Wilmot),Y,4,"Alias-Everything,Alias-All-SchoolBoards,Alias-SchoolBoard-Public-Catholic,Alias-SchoolBoard-Catholic-English"
SchoolBoard-Catholic-English-Cambridge-NorthDumfries,N/A,Waterloo Catholic District School Board (English Catholic) - Cambridge/North Dumfries,English Catholic Trustee (Cambridge/North Dumfries),Y,3,"Alias-Everything,Alias-All-SchoolBoards,Alias-SchoolBoard-Public-Catholic,Alias-SchoolBoard-Catholic-English"
SchoolBoard-Public-French,N/A,Conseil scolaire Viamonde (French Public),French Public Trustee,Y,1,"Alias-Everything,Alias-All-SchoolBoards"
SchoolBoard-Catholic-French,N/A,Conseil scolaire de district catholique Centre-Sud (French Catholic),French Catholic Trustee,Y,1,"Alias-Everything,Alias-All-SchoolBoards"
Election-Info,N/A,Election Information,Election Info,,0,
Self-Promotion,N/A,Information About This Website,Website Publicity,,0,
Results,N/A,Election Results and Aftermath,Election Results,,0,
Voter-Profiles,N/A,The Voter Perspective,Voter Interviews,,0,
